SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
0,-2.602526,51.4558161,-2.602526,51.4558162,1549879525428
1,-2.602526,51.4558161,-2.602526,51.4558162,1549879525472
2,-2.602526,51.4558161,-2.602526,51.4558162,1549879525509
3,-2.602526,51.4558161,-2.602526,51.4558162,1549879525560
4,-2.602526,51.4558161,-2.602526,51.4558162,1549879525601
5,-2.602526,51.4558161,-2.602526,51.4558162,1549879525641
6,-2.602526,51.4558161,-2.602526,51.4558162,1549879525672
7,-2.602526,51.4558161,-2.602526,51.4558162,1549879525710
8,-2.602526,51.4558161,-2.602526,51.4558162,1549879525743
9,-2.602526,51.4558161,-2.602526,51.4558162,1549879525787
10,-2.602526,51.4558161,-2.602526,51.4558162,1549879525821
11,-2.602526,51.4558161,-2.602526,51.4558162,1549879525856
12,-2.602526,51.4558161,-2.602526,51.4558162,1549879525895
13,-2.602526,51.4558161,-2.602526,51.4558162,1549879525936
14,-2.602526,51.4558161,-2.602526,51.4558162,1549879525970
15,-2.602526,51.4558161,-2.602526,51.4558162,1549879526011
16,-2.602526,51.4558161,-2.602526,51.4558162,1549879526049
17,-2.602526,51.4558161,-2.602526,51.4558162,1549879526103
18,-2.602526,51.4558161,-2.602526,51.4558162,1549879526132
19,-2.602526,51.4558161,-2.602526,51.4558162,1549879526157
20,-2.602526,51.4558161,-2.602526,51.4558162,1549879526195
21,-2.602526,51.4558161,-2.602526,51.4558162,1549879526227
22,-2.602526,51.4558161,-2.602526,51.4558162,1549879526250
23,-2.602526,51.4558161,-2.602526,51.4558162,1549879526283
24,-2.602526,51.4558161,-2.602526,51.4558162,1549879526315
25,-2.602526,51.4558161,-2.602526,51.4558162,1549879526348
26,-2.602526,51.4558161,-2.602526,51.4558162,1549879526384
27,-2.602526,51.4558161,-2.602526,51.4558162,1549879526418
28,-2.602526,51.4558161,-2.602526,51.4558162,1549879526447
29,-2.602526,51.4558161,-2.602526,51.4558162,1549879526483
30,-2.602526,51.4558161,-2.602526,51.4558162,1549879526517
31,-2.602526,51.4558161,-2.602526,51.4558162,1549879526546
32,-2.602526,51.4558161,-2.602526,51.4558162,1549879526577
33,-2.602526,51.4558161,-2.602526,51.4558162,1549879526612
34,-2.602526,51.4558161,-2.602526,51.4558162,1549879526636
35,-2.602526,51.4558161,-2.602526,51.4558162,1549879526671
36,-2.602526,51.4558161,-2.602526,51.4558162,1549879526705
37,-2.602526,51.4558161,-2.602526,51.4558162,1549879526745
38,-2.602526,51.4558161,-2.602526,51.4558162,1549879526774
39,-2.602526,51.4558161,-2.602526,51.4558162,1549879526806
40,-2.602526,51.4558161,-2.602526,51.4558162,1549879526842
41,-2.602526,51.4558161,-2.602526,51.4558162,1549879526876
42,-2.602526,51.4558161,-2.602526,51.4558162,1549879526909
43,-2.602526,51.4558161,-2.602526,51.4558162,1549879526935
44,-2.602526,51.4558161,-2.602526,51.4558162,1549879526958
45,-2.602526,51.4558161,-2.602526,51.4558162,1549879526988
46,-2.602526,51.4558161,-2.602526,51.4558162,1549879527012
47,-2.602526,51.4558161,-2.602526,51.4558162,1549879527046
48,-2.602526,51.4558161,-2.602526,51.4558162,1549879527078
49,-2.602526,51.4558161,-2.602526,51.4558162,1549879527110
50,-2.602526,51.4558161,-2.602526,51.4558162,1549879527135
51,-2.602526,51.4558161,-2.602526,51.4558162,1549879527159
52,-2.602526,51.4558161,-2.602526,51.4558162,1549879527193
53,-2.602526,51.4558161,-2.602526,51.4558162,1549879527231
54,-2.602526,51.4558161,-2.602526,51.4558162,1549879527252
55,-2.602526,51.4558161,-2.602526,51.4558162,1549879527289
56,-2.602526,51.4558161,-2.602526,51.4558162,1549879527319
57,-2.602526,51.4558161,-2.602526,51.4558162,1549879527353
58,-2.602526,51.4558161,-2.602526,51.4558162,1549879527386
59,-2.602526,51.4558161,-2.602526,51.4558162,1549879527419
60,-2.602526,51.4558161,-2.602526,51.4558162,1549879527443
61,-2.602526,51.4558161,-2.602526,51.4558162,1549879527474
62,-2.602526,51.4558161,-2.602526,51.4558162,1549879527498
63,-2.602526,51.4558161,-2.602526,51.4558162,1549879527526
64,-2.602526,51.4558161,-2.602526,51.4558162,1549879527551
65,-2.602526,51.4558161,-2.602526,51.4558162,1549879527582
66,-2.602526,51.4558161,-2.602526,51.4558162,1549879527615
67,-2.602526,51.4558161,-2.602526,51.4558162,1549879527646
68,-2.602526,51.4558161,-2.602526,51.4558162,1549879527679
69,-2.602526,51.4558161,-2.602526,51.4558162,1549879527713
