RxMAC,SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
4c:5e:0c:84:35:f6,0,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525307
4c:5e:0c:84:35:f6,1,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525364
4c:5e:0c:84:35:f6,2,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525404
4c:5e:0c:84:35:f6,3,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525445
4c:5e:0c:84:35:f6,4,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525478
4c:5e:0c:84:35:f6,5,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525516
4c:5e:0c:84:35:f6,6,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525549
4c:5e:0c:84:35:f6,7,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525594
4c:5e:0c:84:35:f6,8,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525628
4c:5e:0c:84:35:f6,9,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525663
4c:5e:0c:84:35:f6,10,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525693
4c:5e:0c:84:35:f6,11,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525732
4c:5e:0c:84:35:f6,12,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525769
4c:5e:0c:84:35:f6,13,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525811
4c:5e:0c:84:35:f6,14,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525846
4c:5e:0c:84:35:f6,15,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525886
4c:5e:0c:84:35:f6,16,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525928
4c:5e:0c:84:35:f6,17,-2.602526,51.4558161,-2.6024233,51.4557362,1549879525975
4c:5e:0c:84:35:f6,18,-2.602526,51.4558161,-2.6024233,51.4557362,1549879526009
