rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
1549879525509178941,,2,,1549879525,509000000,'',2,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525509
1549879525559538298,,3,,1549879525,560000000,'',3,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525560
1549879525599950533,,4,,1549879525,601000000,'',4,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525601
1549879525640357499,,5,,1549879525,641000000,'',5,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525641
1549879525670655855,,6,,1549879525,672000000,'',6,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525672
1549879525700859801,,7,,1549879525,710000000,'',7,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525710
1549879525741384756,,8,,1549879525,743000000,'',8,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525743
1549879525781791093,,9,,1549879525,787000000,'',9,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525787
1549879525812133188,,10,,1549879525,821000000,'',10,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525821
1549879525852598196,,11,,1549879525,856000000,'',11,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525856
1549879525893057794,,12,,1549879525,895000000,'',12,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525895
1549879525933551005,,13,,1549879525,936000000,'',13,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525936
1549879525963920076,,14,,1549879525,970000000,'',14,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525970
1549879526004383387,,15,,1549879526,11000000,'',15,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526011
1549879526044878182,,16,,1549879526,49000000,'',16,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526049
1549879526095445686,,17,,1549879526,103000000,'',17,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526103
1549879526125809774,,18,,1549879526,132000000,'',18,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526132
1549879526156156888,,19,,1549879526,157000000,'',19,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526157
1549879526186538703,,20,,1549879526,195000000,'',20,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526195
1549879526226993322,,21,,1549879526,227000000,'',21,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526227
1549879526247240970,,22,,1549879526,250000000,'',22,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526250
