rosbagTimestamp,id,lanes
5137072489,0,[]
5654626142,0,[]
6411539152,0,[]
6908011465,0,[]
7631399511,0,[]
8375212399,0,[]
8869215367,0,[]
9642636281,0,[]
10202244127,0,[]
10934592449,0,[]
11608592918,0,[]
12311688237,0,[]
12766246563,0,[]
13431473370,0,[]
14093403008,0,[]
14842341403,0,[]
15346639071,0,[]
16122150678,0,[]
16628269175,0,[]
17380496701,0,[]
18146367017,0,[]
18599959182,0,[]
19376930898,0,[]
20109085799,0,[]
20579291124,0,[]
21361353298,0,[]
21902130643,0,[]
22440571220,0,[]
23259656418,0,[]
23993149307,0,[]
24460797218,0,[]
25199146336,0,[]
25939978747,0,[]
26444005962,0,[]
27194956377,0,[]
27907358740,0,[]
28626413192,0,[]
29130557637,0,[]
29936270355,0,[]
30675652381,0,[]
31223353253,0,[]
32008765959,0,[]
32546561832,0,[]
33327000638,0,[]
