rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,msg_source,computation_status,header,seq,stamp,secs,nsecs,frame_id,batch_size,t_op,app_flo,execution_time,required_flops,machine_availabel_flops,cav_vehicle_model_out,header,seq,stamp,secs,nsecs,frame_id,vehicle_states,x_1,x_2,x_3,x_4,x_5,x_6,x_7,vehicle_control_signals,u,w,pose,position,x,y,z,orientation,x,y,z,w,fuel_cost,ego_path,id,lanes,ego_status,header,seq,stamp,secs,nsecs,frame_id,COLLISSION_DETECT,COLLISION_DISTANC,COLLISION_TIME,COLLISION_SUBJECT,LAST_DECISION,participants_status
5136021782,,11,,2,455436417,'','',,,2,,0,0,'',10000.0,0.01,10000.0,0.482443,1000000.0,588268167.0,,,2,,2,225419409,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,3,,0,0,'',False,0.0,0.0,'',2,[]
5136021782,,12,,2,708887966,'','',,,3,,0,0,'',10000.0,0.01,10000.0,0.505857,1000000.0,553559665.0,,,3,,2,455181575,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,4,,0,0,'',False,0.0,0.0,'',2,[]
5382579298,,13,,2,950548738,'','',,,3,,0,0,'',10000.0,0.01,10000.0,0.505857,1000000.0,553559665.0,,,4,,2,708790391,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,4,,0,0,'',False,0.0,0.0,'',2,[]
5382579298,,14,,3,216473623,'','',,,3,,0,0,'',10000.0,0.01,10000.0,0.505857,1000000.0,553559665.0,,,5,,2,950477870,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,4,,0,0,'',False,0.0,0.0,'',2,[]
5921567802,,15,,3,216473623,'','',,,3,,0,0,'',10000.0,0.01,10000.0,0.505857,1000000.0,553559665.0,,,5,,2,950477870,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,4,,0,0,'',False,0.0,0.0,'',2,[]
6171841970,,16,,3,443928880,'','',,,4,,0,0,'',10000.0,0.01,10000.0,0.497871,1000000.0,572755728.0,,,6,,3,218025840,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,5,,0,0,'',False,0.0,0.0,'',2,[]
6411539152,,17,,3,638787069,'','',,,4,,0,0,'',10000.0,0.01,10000.0,0.497871,1000000.0,572755728.0,,,7,,3,444018971,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,5,,0,0,'',False,0.0,0.0,'',2,[]
6667994359,,18,,3,862081641,'','',,,4,,0,0,'',10000.0,0.01,10000.0,0.497871,1000000.0,572755728.0,,,8,,3,639002799,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,5,,0,0,'',False,0.0,0.0,'',2,[]
6908011465,,19,,4,87085651,'','',,,5,,0,0,'',10000.0,0.01,10000.0,0.51322,1000000.0,533401608.0,,,9,,3,862079129,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,6,,0,0,'',False,0.0,0.0,'',2,[]
6908011465,,20,,4,318137701,'','',,,5,,0,0,'',10000.0,0.01,10000.0,0.51322,1000000.0,533401608.0,,,10,,4,87383802,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,6,,0,0,'',False,0.0,0.0,'',2,[]
7149560507,,21,,4,590712961,'','',,,6,,0,0,'',10000.0,0.01,10000.0,0.530624,1000000.0,514260442.0,,,11,,4,318177792,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,7,,0,0,'',False,0.0,0.0,'',2,[]
7391808755,,22,,4,847523829,'','',,,6,,0,0,'',10000.0,0.01,10000.0,0.530624,1000000.0,514260442.0,,,12,,4,590748569,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,7,,0,0,'',False,0.0,0.0,'',2,[]
7631399511,,23,,4,847525065,'','',,,6,,0,0,'',10000.0,0.01,10000.0,0.530624,1000000.0,514260442.0,,,12,,4,590748569,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,7,,0,0,'',False,0.0,0.0,'',2,[]
7882703827,,24,,5,136112990,'','',,,6,,0,0,'',10000.0,0.01,10000.0,0.530624,1000000.0,514260442.0,,,13,,4,847565194,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,7,,0,0,'',False,0.0,0.0,'',2,[]
8375212399,,25,,5,381637888,'','',,,7,,0,0,'',10000.0,0.01,10000.0,0.50551,1000000.0,586187087.0,,,14,,5,136309834,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,8,,0,0,'',False,0.0,0.0,'',2,[]
8630490809,,26,,5,653565294,'','',,,7,,0,0,'',10000.0,0.01,10000.0,0.50551,1000000.0,586187087.0,,,15,,5,381676027,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,8,,0,0,'',False,0.0,0.0,'',2,[]
8869215367,,27,,5,653568556,'','',,,7,,0,0,'',10000.0,0.01,10000.0,0.50551,1000000.0,586187087.0,,,15,,5,381676027,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,8,,0,0,'',False,0.0,0.0,'',2,[]
9127551190,,28,,5,920258739,'','',,,8,,0,0,'',10000.0,0.01,10000.0,0.508052,1000000.0,542362585.0,,,16,,5,653454065,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,9,,0,0,'',False,0.0,0.0,'',2,[]
9399969450,,29,,6,171041020,'','',,,8,,0,0,'',10000.0,0.01,10000.0,0.508052,1000000.0,542362585.0,,,17,,5,921567802,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,9,,0,0,'',False,0.0,0.0,'',2,[]
9399969450,,30,,6,410646448,'','',,,8,,0,0,'',10000.0,0.01,10000.0,0.508052,1000000.0,542362585.0,,,18,,6,171062973,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,9,,0,0,'',False,0.0,0.0,'',2,[]
9642636281,,31,,6,410648905,'','',,,8,,0,0,'',10000.0,0.01,10000.0,0.508052,1000000.0,542362585.0,,,18,,6,171062973,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,9,,0,0,'',False,0.0,0.0,'',2,[]
9916307628,,32,,6,667116282,'','',,,9,,0,0,'',10000.0,0.01,10000.0,0.511884,1000000.0,557415154.0,,,19,,6,410451580,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,10,,0,0,'',False,0.0,0.0,'',2,[]
10202244127,,33,,6,907230042,'','',,,9,,0,0,'',10000.0,0.01,10000.0,0.511884,1000000.0,557415154.0,,,20,,6,667114687,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,10,,0,0,'',False,0.0,0.0,'',2,[]
10685780710,,34,,7,148823456,'','',,,10,,0,0,'',10000.0,0.01,10000.0,0.506832,1000000.0,554528138.0,,,21,,6,907291530,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,11,,0,0,'',False,0.0,0.0,'',2,[]
10685780710,,35,,7,390712412,'','',,,10,,0,0,'',10000.0,0.01,10000.0,0.506832,1000000.0,554528138.0,,,22,,7,148718813,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,11,,0,0,'',False,0.0,0.0,'',2,[]
11162848209,,36,,7,630646614,'','',,,10,,0,0,'',10000.0,0.01,10000.0,0.506832,1000000.0,554528138.0,,,23,,7,390606466,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,11,,0,0,'',False,0.0,0.0,'',2,[]
11385783349,,37,,7,630648248,'','',,,10,,0,0,'',10000.0,0.01,10000.0,0.506832,1000000.0,554528138.0,,,23,,7,390606466,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,11,,0,0,'',False,0.0,0.0,'',2,[]
11608592918,,38,,7,881894702,'','',,,11,,0,0,'',10000.0,0.01,10000.0,0.509721,1000000.0,558535965.0,,,24,,7,630818172,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,12,,0,0,'',False,0.0,0.0,'',2,[]
11833927419,,39,,8,125301282,'','',,,11,,0,0,'',10000.0,0.01,10000.0,0.509721,1000000.0,558535965.0,,,25,,7,881982565,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,12,,0,0,'',False,0.0,0.0,'',2,[]
12073137780,,40,,8,374293196,'','',,,11,,0,0,'',10000.0,0.01,10000.0,0.509721,1000000.0,558535965.0,,,26,,8,125290007,'',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.00999999977648,,0,[],,,12,,0,0,'',False,0.0,0.0,'',2,[]
