rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,computation_status,header,seq,stamp,secs,nsecs,frame_id,batch_size,t_op,app_flo,execution_time,required_flops,machine_availabel_flops,vehicle_model_out,header,seq,stamp,secs,nsecs,frame_id,vehicle_states,x_1,x_2,x_3,x_4,x_5,x_6,x_7,vehicle_control_signals,u,w,pose,position,x,y,z,orientation,x,y,z,w,fuel_cost
3872552054,,12,,3,349542256,'',,,3,,0,0,'',10000.0,0.01,10000.0,0.604076,1000000.0,458988252.0,,,7,,3,113340290,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
3872552054,,13,,3,512795720,'',,,3,,0,0,'',10000.0,0.01,10000.0,0.604076,1000000.0,458988252.0,,,9,,3,512756792,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
3872552054,,14,,3,695751859,'',,,3,,0,0,'',10000.0,0.01,10000.0,0.604076,1000000.0,458988252.0,,,9,,3,512756792,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
3873402209,,15,,3,872574491,'',,,4,,0,0,'',10000.0,0.01,10000.0,0.606572,1000000.0,463232109.0,,,11,,3,872754839,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
4054364007,,16,,4,54364007,'',,,4,,0,0,'',10000.0,0.01,10000.0,0.606572,1000000.0,463232109.0,,,12,,4,53230755,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
4241556730,,17,,4,240246355,'',,,4,,0,0,'',10000.0,0.01,10000.0,0.606572,1000000.0,463232109.0,,,12,,4,53230755,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
4429646749,,18,,4,428581546,'',,,4,,0,0,'',10000.0,0.01,10000.0,0.606572,1000000.0,463232109.0,,,13,,4,240419839,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
4595844582,,19,,4,595042947,'',,,5,,0,0,'',10000.0,0.01,10000.0,0.582753,1000000.0,482248435.0,,,14,,4,428805027,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
4771744621,,20,,4,771744621,'',,,5,,0,0,'',10000.0,0.01,10000.0,0.582753,1000000.0,482248435.0,,,16,,4,770827994,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
4964502338,,21,,4,963943366,'',,,5,,0,0,'',10000.0,0.01,10000.0,0.582753,1000000.0,482248435.0,,,16,,4,770827994,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
5188739707,,22,,5,187457902,'',,,5,,0,0,'',10000.0,0.01,10000.0,0.582753,1000000.0,482248435.0,,,17,,4,963748717,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
5371589057,,23,,5,371346877,'',,,6,,0,0,'',10000.0,0.01,10000.0,0.593955,1000000.0,473040253.0,,,18,,5,187638358,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
5632037365,,24,,5,631228960,'',,,6,,0,0,'',10000.0,0.01,10000.0,0.593955,1000000.0,473040253.0,,,20,,5,496746783,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
5777926345,,25,,5,777678334,'',,,6,,0,0,'',10000.0,0.01,10000.0,0.593955,1000000.0,473040253.0,,,21,,5,631154984,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
5961287357,,26,,5,961287357,'',,,6,,0,0,'',10000.0,0.01,10000.0,0.593955,1000000.0,473040253.0,,,23,,5,959960878,'',,0.300000011921,0.300000011921,0.0500000007451,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.300000011921,0.300000011921,0.0,,0.0,0.0,0.0249973962871,0.999687516266,0.00999999977648
