rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,RxMAC,SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
1549879525540434503,,0,,1549879525,325531167,'',"""4c",0,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525325
1549879525661473005,,1,,1549879525,352301565,'',"""4c",1,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525352
1549879525793139371,,2,,1549879525,378055316,'',"""4c",2,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525378
1549879525904550154,,3,,1549879525,456286815,'',"""4c",3,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525456
1549879526035934263,,4,,1549879525,475211460,'',"""4c",4,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525475
1549879526157339596,,5,,1549879525,521871817,'',"""4c",5,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525521
1549879526288325095,,6,,1549879525,544151479,'',"""4c",6,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525544
1549879526409346195,,7,,1549879525,589654214,'',"""4c",7,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525589
1549879526520347389,,8,,1549879525,632062956,'',"""4c",8,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525632
1549879526651419211,,9,,1549879525,658027961,'',"""4c",9,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525658
1549879526772335995,,10,,1549879525,700243717,'',"""4c",10,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525700
1549879526913426473,,11,,1549879525,724797824,'',"""4c",11,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525724
1549879527024448713,,12,,1549879525,786829267,'',"""4c",12,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525786
1549879527166143618,,13,,1549879525,803991477,'',"""4c",13,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525803
1549879527297754250,,14,,1549879525,843379558,'',"""4c",14,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525843
1549879527419242390,,15,,1549879525,891928352,'',"""4c",15,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525891
